Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"225,795,571,644","278,648,773,346",,
2. Các khoản giảm trừ doanh thu,02,,"1,606,384,800","3,870,567,472",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"224,189,186,844","274,778,205,874",,
4. Giá vốn hàng bán,11,,"205,602,824,635","253,726,836,877",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"18,586,362,209","21,051,368,997",,
6. Doanh thu hoạt động tài chính,21,,"4,485,344,396","4,398,044,159",,
7. Chi phí tài chính,22,,"-1,161,839,809","2,533,438,942",,
- Trong đó: Chi phí lãi vay,23,,0,"737,750,739",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"12,077,375,014","13,891,210,831",,
10. Chi phí quản lý doanh nghiệp,26,,"8,407,367,160","7,510,575,347",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"3,748,804,240","1,514,188,036",,
12. Thu nhập khác,31,,"62,716,688","490,676,950",,
13. Chi phí khác,32,,"2,636,147,420","100,713,975",,
14. Lợi nhuận khác(40=31-32),40,,"-2,573,430,732","389,962,975",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"1,175,373,508","1,904,151,011",,
16. Chi phí thuế TNDN hiện hành,51,,"61,763,690","383,591,293",,
17. Chi phí thuế TNDN hoãn lại,52,,"-17,988,268","-48,962,964",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"1,131,598,086","1,569,522,682",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,95,129,,
22. Lãi suy giảm trên cổ phiếu (*),71,,95,129,,
