Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1.Thu nhập lãi và các khoản thu nhập tương tự,01,,"10,464,069,000,000","8,160,575,000,000",,
2. Chi phí lãi và các chi phí tương tự,02,,"7,705,863,000,000","4,395,195,000,000",,
I. Thu nhập lãi thuần,03,,"2,758,206,000,000","3,765,380,000,000",,
3. Thu nhập từ hoạt động dịch vụ,04,,"1,648,954,000,000","931,817,000,000",,
4. Chi phí hoạt động dịch vụ,05,,"900,000,000,000","699,775,000,000",,
II. Lãi/lỗ thuần từ hoạt động dịch vụ,06,,"748,954,000,000","232,042,000,000",,
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,07,,"228,453,000,000","192,865,000,000",,
IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,08,,"5,038,000,000","-56,174,000,000",,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,09,,"117,442,000,000","-21,343,000,000",,
5. Thu nhập từ hoạt động khác,10,,"405,873,000,000","375,338,000,000",,
6. Chi phí hoạt động khác,11,,"25,890,000,000","28,702,000,000",,
VI. Lãi/lỗ thuần từ hoạt động khác,12,,"379,983,000,000","346,636,000,000",,
"VII. Thu nhập từ góp vốn, mua cổ phần",13,,"97,538,000,000","26,448,000,000",,
VIII. Chi phí hoạt động,14,,"2,252,222,000,000","2,006,536,000,000",,
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,15,,"2,083,392,000,000","2,479,318,000,000",,
X. Chi phí dự phòng rủi ro tín dụng,16,,"1,499,348,000,000","776,913,000,000",,
XI. Tổng lợi nhuận trước thuế,17,,"584,044,000,000","1,702,405,000,000",,
7. Chi phí thuế TNDN hiện hành,18,,"130,542,000,000","345,675,000,000",,
8. Chi phí thuế TNDN hoãn lại,19,,0,0,,
XII. Chi phí thuế TNDN,20,,"130,542,000,000","345,675,000,000",,
XIII. Lợi nhuận sau thuế,21,,"453,502,000,000","1,356,730,000,000",,
XIV. Lợi ích của cổ đông thiểu số,22,,0,0,,
XV. Lãi cơ bản trên cổ phiếu,23,,438,"1,284",,
