Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"183,960,117,301","178,347,748,753","466,011,008,799","470,041,419,300"
2. Các khoản giảm trừ doanh thu,02,,"43,586,335","63,766,512","979,106,971","79,912,542"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"183,916,530,966","178,283,982,241","465,031,901,828","469,961,506,758"
4. Giá vốn hàng bán,11,,"105,241,518,526","117,277,083,614","310,991,375,629","296,444,036,471"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"78,675,012,440","61,006,898,627","154,040,526,199","173,517,470,287"
6. Doanh thu hoạt động tài chính,21,,"115,750,671","-1,334,072,625","1,664,620,578","2,424,952,311"
7. Chi phí tài chính,22,,"1,784,538,310","1,645,217,930","7,854,738,132","6,372,731,395"
- Trong đó: Chi phí lãi vay,23,,"1,566,181,195","1,575,973,400","7,589,236,702","4,415,531,398"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,,0,,
9. Chi phí bán hàng,25,,"9,585,741,600","20,062,762,794","36,769,560,503","45,795,240,206"
10. Chi phí quản lý doanh nghiệp,26,,"8,161,663,214","17,084,292,357","44,679,954,364","61,196,187,166"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"59,258,819,987","20,880,552,921","66,400,893,778","62,578,263,831"
12. Thu nhập khác,31,,"5,085,350","2,907,484","219,744,224","294,925,401"
13. Chi phí khác,32,,"147,940","5,225","3,076,558","5,751"
14. Lợi nhuận khác(40=31-32),40,,"4,937,410","2,902,259","216,667,666","294,919,650"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"59,263,757,397","20,883,455,180","66,617,561,444","62,873,183,481"
16. Chi phí thuế TNDN hiện hành,51,,"9,837,950,487","4,175,230,931","11,439,089,511","10,507,529,060"
17. Chi phí thuế TNDN hoãn lại,52,,"-1,381,596,345","-1,039,200,932","-1,450,643,920","93,786,302"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"50,807,403,255","17,747,425,181","56,629,115,853","52,271,868,119"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
