Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"184,335,437,292","220,998,175,532",,
2. Các khoản giảm trừ doanh thu,02,,"749,829,764",0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"183,585,607,528","220,998,175,532",,
4. Giá vốn hàng bán,11,,"131,315,366,658","134,958,702,100",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"52,270,240,870","86,039,473,432",,
6. Doanh thu hoạt động tài chính,21,,"1,541,881,078","1,605,831,378",,
7. Chi phí tài chính,22,,"4,127,268,365","3,078,315,268",,
- Trong đó: Chi phí lãi vay,23,,"4,096,002,117","1,785,035,789",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,,0,,
9. Chi phí bán hàng,25,,"18,986,247,787","19,023,240,368",,
10. Chi phí quản lý doanh nghiệp,26,,"26,243,852,679","27,902,053,333",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"4,454,753,117","37,641,695,841",,
12. Thu nhập khác,31,,"112,298,320","217,336,407",,
13. Chi phí khác,32,,"2,928,618",424,,
14. Lợi nhuận khác(40=31-32),40,,"109,369,702","217,335,983",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"4,564,122,819","37,859,031,824",,
16. Chi phí thuế TNDN hiện hành,51,,"1,289,761,518","5,578,233,066",,
17. Chi phí thuế TNDN hoãn lại,52,,"-277,990,020","906,586,372",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"3,552,351,321","31,374,212,386",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
