Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"287,834,170,091","574,181,519,417",,
2. Các khoản giảm trừ doanh thu,02,,"235,891,200",0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"287,598,278,891","574,181,519,417",,
4. Giá vốn hàng bán,11,,"263,889,957,514","445,696,067,270",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"23,708,321,377","128,485,452,147",,
6. Doanh thu hoạt động tài chính,21,,"908,796,168","153,230,230",,
7. Chi phí tài chính,22,,"12,455,556,051","9,142,567,462",,
- Trong đó: Chi phí lãi vay,23,,"12,157,956,471","7,979,922,548",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"3,241,462,518","636,918,884",,
10. Chi phí quản lý doanh nghiệp,26,,"6,369,908,395","7,542,707,433",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"2,550,190,581","111,316,488,598",,
12. Thu nhập khác,31,,"556,619,609",0,,
13. Chi phí khác,32,,"1,233,956,914","707,639,025",,
14. Lợi nhuận khác(40=31-32),40,,"-677,337,305","-707,639,025",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"1,872,853,276","110,608,849,573",,
16. Chi phí thuế TNDN hiện hành,51,,"559,311,396","22,263,297,719",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"1,313,541,880","88,345,551,854",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,21,"1,385",,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
