Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"3,531,352,090,707","3,291,406,943,915","9,941,206,996,308","11,897,994,315,043"
2. Các khoản giảm trừ doanh thu,02,,"2,273,196,017","11,072,289,994","4,101,855,816","15,115,074,483"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"3,529,078,894,690","3,280,334,653,921","9,937,105,140,492","11,882,879,240,560"
4. Giá vốn hàng bán,11,,"3,209,329,498,857","2,972,146,306,598","9,136,176,087,726","10,837,182,627,004"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"319,749,395,833","308,188,347,323","800,929,052,766","1,045,696,613,556"
6. Doanh thu hoạt động tài chính,21,,"63,082,764,650","43,749,317,209","171,502,039,178","137,526,351,121"
7. Chi phí tài chính,22,,"52,837,104,055","61,887,618,795","168,223,103,081","171,974,409,520"
- Trong đó: Chi phí lãi vay,23,,"46,635,327,606","40,362,653,734","138,377,354,789","116,119,094,694"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"11,922,389,158","16,495,471,816","30,057,461,406","41,252,439,626"
9. Chi phí bán hàng,25,,"146,527,042,033","140,819,634,222","374,901,599,498","533,415,428,719"
10. Chi phí quản lý doanh nghiệp,26,,"71,930,869,436","58,132,125,521","197,715,648,015","173,024,679,180"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"123,459,534,117","107,593,757,810","261,648,202,756","346,060,886,884"
12. Thu nhập khác,31,,"6,662,250,470","1,517,118,689","14,482,901,235","4,675,223,192"
13. Chi phí khác,32,,"3,063,556,223","4,231,390,245","5,812,269,667","8,431,772,379"
14. Lợi nhuận khác(40=31-32),40,,"3,598,694,247","-2,714,271,556","8,670,631,568","-3,756,549,187"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"127,058,228,364","104,879,486,254","270,318,834,324","342,304,337,697"
16. Chi phí thuế TNDN hiện hành,51,,"24,538,430,487","28,624,194,066","54,044,677,940","78,579,048,101"
17. Chi phí thuế TNDN hoãn lại,52,,"-1,027,660,219","-362,140,033","-939,888,312","-2,587,353,479"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"103,547,458,096","76,617,432,221","217,214,044,696","266,312,643,075"
19. Lợi nhuận sau thuế công ty mẹ,61,,"99,049,764,272","79,866,172,011","195,220,357,186","253,377,310,885"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"4,497,693,824","-3,248,739,790","21,993,687,510","12,935,332,190"
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
